transaction_time,transaction_amount,avg_transaction_30d,transaction_frequency_10min,current_location,previous_location,account_balance,transaction_type,account_age_days,failed_login_attempts,login_hour,transactions_today,risk_score,fraud_label
02:42,176301.25,4481,10,Shimoga,Gulbarga,496336.74,Transfer,818,2,2,23,100,Fraud
11:27,16466.23,15843,2,Mumbai,Mumbai,335206.2,Transfer,367,1,11,5,8,Normal
12:11,8356.31,6023,3,Chitradurga,Chitradurga,143306.77,Deposit,964,0,12,2,0,Normal
14:09,19191.54,18366,2,Chandigarh,Chandigarh,284625.55,Transfer,80,0,14,5,16,Normal
12:38,20788.62,23366,1,Patna,Patna,524583.49,Transfer,599,0,12,1,8,Normal
04:20,103644.6,7658,5,Hubballi,Jaipur,145156.72,Transfer,569,5,4,23,100,Fraud
10:32,8448.54,8948,3,Patna,Patna,224408.25,Transfer,611,0,10,3,8,Normal
09:00,25710.1,24479,3,Patna,Patna,297866.46,Transfer,275,1,9,4,8,Normal
01:15,107986.38,9267,8,Hassan,Chandigarh,118704.44,Transfer,520,2,1,8,91,Fraud
03:39,95014.59,6998,5,Hubballi,Jaipur,95516.38,Transfer,648,7,3,9,100,Fraud
15:05,7132.69,9666,3,Hassan,Hassan,172524.59,Withdrawal,900,0,15,5,5,Normal
21:30,9218.84,15950,3,Jaipur,Jaipur,267860.73,Transfer,634,0,21,3,8,Normal
23:20,77982.64,7729,10,Chitradurga,Kochi,67337.9,Withdrawal,543,8,23,8,95,Fraud
02:02,264120.52,7980,9,Kolkata,Mumbai,433334.05,Transfer,648,2,2,21,100,Fraud
01:46,226327.27,21810,9,Udupi,Lucknow,574423.67,Transfer,404,4,1,20,100,Fraud
14:46,14326.79,24716,1,Shimoga,Shimoga,685143.96,Withdrawal,206,0,14,3,5,Normal
17:34,6478.53,7469,2,Noida,Noida,197934.12,Deposit,365,0,17,5,0,Normal
04:03,129520.12,4563,6,Pune,Dharwad,298247.34,Transfer,773,3,4,23,100,Fraud
01:06,774233.42,20108,5,Manipal,Delhi,1708672.6,Transfer,829,5,1,20,100,Fraud
18:09,2879.82,2788,2,Gulbarga,Gulbarga,79925.01,Transfer,1035,1,18,2,8,Normal
14:21,15195.27,15504,1,Shimoga,Shimoga,349878.34,Transfer,646,0,14,3,8,Normal
11:18,8455.49,9846,3,Mysuru,Mysuru,228734.9,Withdrawal,923,1,11,2,5,Normal
11:55,28280.58,21310,1,Shimoga,Shimoga,183611.07,Transfer,891,0,11,3,8,Normal
03:48,401108.83,15449,5,Kochi,Surat,1061673.79,Transfer,505,4,3,18,100,Fraud
01:44,260062.91,19905,9,Belagavi,Mysuru,484915.31,Withdrawal,779,4,1,14,100,Fraud
07:47,18223.06,23692,2,Hubballi,Hubballi,262795.82,Transfer,83,0,7,2,16,Normal
02:43,337458.85,8880,8,Hyderabad,Delhi,591819.69,Withdrawal,849,4,2,14,100,Fraud
03:42,171086.46,5036,8,Manipal,Raichur,293777.52,Transfer,458,5,3,22,100,Fraud
04:13,516898.28,21257,10,Hubballi,Jaipur,1254551.31,Transfer,125,8,4,16,100,Fraud
10:11,21474.78,21637,2,Raichur,Raichur,273111.76,Withdrawal,1031,1,10,3,5,Normal
23:14,193626.32,10425,10,Bagalkot,Bellary,468537.69,Transfer,462,6,23,21,100,Fraud
17:14,5786.16,5892,2,Surat,Surat,72424.99,Deposit,469,1,17,1,0,Normal
23:06,69755.3,4076,8,Jaipur,Raichur,127775.37,Transfer,354,8,23,19,100,Fraud
17:13,23627.06,17563,1,Kolkata,Kolkata,369508.13,Transfer,353,0,17,4,8,Normal
04:25,171972.67,14662,7,Vijayapura,Bagalkot,207302.39,Transfer,1101,4,4,11,100,Fraud
09:27,8366.92,9149,1,Mysuru,Mysuru,127375.74,Withdrawal,102,0,9,2,5,Normal
22:22,14573.51,13737,2,Ahmedabad,Ahmedabad,323393.18,Deposit,930,0,22,2,0,Normal
01:47,489231.68,23590,9,Hassan,Dharwad,790425.22,Transfer,719,3,1,20,100,Fraud
11:13,7155.13,7993,3,Patna,Patna,216236.03,Deposit,973,1,11,4,0,Normal
20:47,18122.28,17679,1,Kochi,Kochi,487836.41,Transfer,514,0,20,4,8,Normal
01:51,306390.11,20500,7,Gulbarga,Bellary,613726.93,Transfer,886,6,1,17,100,Fraud
00:48,230607.48,9491,8,Jaipur,Bagalkot,616181.94,Transfer,662,7,0,20,100,Fraud
03:44,767768.1,20740,8,Gulbarga,Karwar,2118568.5,Transfer,791,7,3,17,100,Fraud
00:58,142598.53,4221,5,Noida,Mysuru,393479.79,Transfer,1074,3,0,11,100,Fraud
02:29,586136.09,24058,6,Chennai,Hassan,1459071.16,Transfer,818,7,2,20,100,Fraud
10:12,18393.27,17664,2,Udupi,Bagalkot,261316.88,Transfer,578,1,10,1,23,Normal
21:27,14675.78,14188,1,Udupi,Udupi,336866.45,Deposit,47,0,21,3,8,Normal
20:05,7237.89,7072,1,Raichur,Raichur,126433.95,Deposit,974,0,20,4,0,Normal
12:27,25813.89,21628,3,Chandigarh,Chandigarh,194255.9,Withdrawal,905,0,12,5,5,Normal
14:45,26568.78,19536,1,Lucknow,Lucknow,256702.48,Deposit,885,1,14,1,0,Normal
07:08,15976.0,18578,1,Mumbai,Mumbai,314198.86,Deposit,854,0,7,1,0,Normal
00:42,209746.93,7152,7,Ahmedabad,Patna,428981.33,Transfer,336,5,0,9,100,Fraud
12:42,14644.6,13308,3,Bellary,Bellary,388528.35,Transfer,721,1,12,3,8,Normal
11:32,3028.35,2181,1,Lucknow,Lucknow,58707.73,Deposit,310,1,11,3,0,Normal
13:26,22214.05,20292,1,Bengaluru,Bengaluru,434323.74,Deposit,522,0,13,5,0,Normal
10:28,13202.38,15824,2,Bidar,Bidar,242998.93,Transfer,137,0,10,5,8,Normal
00:59,289754.0,22671,11,Bengaluru,Noida,261216.03,Transfer,196,2,0,17,100,Fraud
04:06,915155.94,22988,8,Hassan,Hubballi,2035778.37,Transfer,634,2,4,16,100,Fraud
01:42,251684.11,6911,10,Mumbai,Dharwad,401294.11,Transfer,470,5,1,17,100,Fraud
01:53,875154.87,23182,7,Shimoga,Dharwad,2115119.33,Transfer,269,3,1,18,100,Fraud
21:11,2408.1,3364,2,Kochi,Kochi,53712.37,Transfer,1176,1,21,3,8,Normal
18:36,9763.29,14526,1,Dharwad,Dharwad,232964.52,Transfer,683,0,18,4,8,Normal
02:23,144223.06,6214,8,Lucknow,Belagavi,330872.86,Withdrawal,49,6,2,24,100,Fraud
20:35,21498.97,18273,3,Pune,Pune,207722.94,Transfer,17,0,20,5,23,Normal
07:56,24970.3,21883,2,Hubballi,Hubballi,349110.64,Deposit,189,0,7,4,0,Normal
03:30,123458.99,4747,9,Hyderabad,Chennai,249736.97,Transfer,399,8,3,24,100,Fraud
15:14,14565.19,12484,1,Vijayapura,Vijayapura,142877.71,Transfer,587,0,15,2,8,Normal
08:48,13933.52,12413,1,Noida,Noida,341381.2,Withdrawal,344,0,8,3,5,Normal
10:19,11603.6,9003,1,Karwar,Karwar,225242.7,Transfer,569,1,10,5,8,Normal
00:19,476256.43,19770,10,Gulbarga,Bagalkot,1243552.55,Withdrawal,560,2,0,16,100,Fraud
01:46,506738.56,24100,8,Shimoga,Chitradurga,814033.93,Transfer,558,4,1,12,100,Fraud
07:25,3225.95,3602,1,Belagavi,Belagavi,57528.8,Withdrawal,432,0,7,4,5,Normal
01:02,358633.97,15252,8,Chandigarh,Shimoga,452820.66,Withdrawal,537,3,1,14,100,Fraud
23:14,515531.7,15069,6,Bengaluru,Lucknow,1083739.97,Transfer,954,3,23,23,100,Fraud
16:22,3129.76,2832,1,Bengaluru,Bengaluru,36420.01,Withdrawal,1137,1,16,2,5,Normal
01:35,841232.33,22094,5,Vijayapura,Jaipur,1535998.87,Withdrawal,681,7,1,17,100,Fraud
00:31,301096.39,16598,5,Kolkata,Pune,493007.45,Transfer,1181,7,0,24,100,Fraud
07:52,7843.3,6645,1,Chennai,Chennai,131661.72,Transfer,250,1,7,4,8,Normal
00:25,335847.24,21421,7,Pune,Hyderabad,749330.15,Withdrawal,717,4,0,9,100,Fraud
21:53,14417.69,21833,3,Lucknow,Lucknow,462821.53,Deposit,94,0,21,3,0,Normal
16:41,5193.23,4551,1,Kochi,Kochi,124812.59,Transfer,1056,0,16,1,8,Normal
14:01,14035.76,12744,2,Hassan,Hassan,134226.73,Deposit,142,0,14,2,0,Normal
04:05,234601.34,9976,9,Patna,Karwar,642954.32,Transfer,815,5,4,24,100,Fraud
02:32,180473.92,11324,9,Bellary,Udupi,229512.43,Transfer,501,8,2,17,100,Fraud
08:35,18014.87,15741,3,Dharwad,Dharwad,365357.55,Transfer,697,0,8,5,8,Normal
23:47,235074.49,6347,8,Pune,Bengaluru,389767.08,Withdrawal,541,5,23,11,100,Fraud
02:09,735911.13,24060,8,Jaipur,Patna,1072466.52,Transfer,697,7,2,12,100,Fraud
20:26,12063.62,15728,1,Pune,Pune,278458.46,Withdrawal,1102,0,20,2,5,Normal
08:23,26042.11,18329,3,Vijayapura,Vijayapura,164424.19,Withdrawal,66,0,8,2,13,Normal
00:13,526965.49,13821,8,Hyderabad,Patna,1373563.6,Withdrawal,797,5,0,12,100,Fraud
02:02,102269.64,4511,11,Lucknow,Mumbai,168301.8,Transfer,46,4,2,20,100,Fraud
03:14,64469.97,2137,5,Pune,Bellary,108209.49,Transfer,821,3,3,19,100,Fraud
21:37,5286.57,12621,1,Bellary,Bellary,188222.9,Transfer,660,1,21,3,8,Normal
22:35,19748.08,21732,2,Bengaluru,Bengaluru,467270.45,Deposit,820,1,22,3,0,Normal
02:10,167076.25,12947,9,Kochi,Patna,384473.16,Transfer,537,7,2,8,100,Fraud
15:58,5408.79,4801,2,Raichur,Raichur,140681.85,Deposit,474,1,15,2,0,Normal
10:13,5764.92,8576,3,Vijayapura,Vijayapura,110123.22,Withdrawal,292,1,10,2,5,Normal
10:23,9872.45,9739,1,Belagavi,Belagavi,129229.81,Withdrawal,1161,0,10,4,5,Normal
08:55,6134.35,8674,1,Hassan,Hassan,81711.36,Transfer,195,1,8,2,8,Normal
03:30,508463.92,23977,7,Hyderabad,Manipal,1188136.29,Transfer,1170,8,3,15,100,Fraud
13:44,18719.11,23236,1,Jaipur,Jaipur,189229.27,Withdrawal,641,0,13,2,5,Normal
12:36,10786.4,9297,2,Mysuru,Mysuru,259145.42,Withdrawal,18,0,12,1,20,Normal
07:01,20731.54,15370,3,Kochi,Kochi,252607.75,Deposit,448,1,7,1,0,Normal
01:04,44974.19,4778,6,Hyderabad,Mysuru,103324.64,Transfer,157,4,1,11,100,Fraud
00:12,327661.52,13405,6,Bengaluru,Hassan,952559.2,Transfer,57,2,0,20,100,Fraud
16:52,19383.84,16978,1,Manipal,Manipal,300224.82,Withdrawal,132,0,16,1,5,Normal
00:39,503185.97,24002,5,Pune,Bellary,935546.44,Transfer,360,8,0,13,100,Fraud
07:23,17645.78,15633,1,Kolkata,Kolkata,271111.04,Transfer,999,0,7,5,8,Normal
14:44,9672.59,12355,2,Vijayapura,Vijayapura,165813.21,Transfer,212,1,14,4,8,Normal
08:24,8713.14,10055,1,Surat,Hassan,287032.5,Transfer,869,0,8,2,23,Normal
21:54,16568.71,19761,2,Lucknow,Lucknow,429054.37,Transfer,535,0,21,5,8,Normal
04:35,560014.02,23960,7,Delhi,Patna,1599568.66,Transfer,203,2,4,14,100,Fraud
01:57,90844.91,3326,8,Belagavi,Bengaluru,109694.31,Transfer,758,2,1,21,100,Fraud
22:29,20912.2,23965,1,Noida,Bengaluru,280294.08,Transfer,254,1,22,4,23,Normal
23:01,107598.63,6149,11,Mumbai,Chandigarh,253502.73,Transfer,1072,2,23,10,88,Fraud
04:55,197769.21,21024,6,Vijayapura,Delhi,205251.01,Transfer,643,6,4,23,100,Fraud
12:09,24575.67,21450,2,Mysuru,Hubballi,493532.47,Transfer,586,0,12,3,23,Normal
00:33,232421.22,14405,9,Surat,Gulbarga,371958.55,Transfer,1119,7,0,10,100,Fraud
04:38,476553.02,23457,10,Mumbai,Ahmedabad,1293288.94,Withdrawal,497,2,4,8,100,Fraud
08:27,24773.35,22663,2,Raichur,Raichur,617998.41,Transfer,1075,0,8,1,8,Normal
08:06,20630.61,18529,3,Bengaluru,Hubballi,220604.76,Deposit,643,1,8,1,15,Normal
10:08,13710.3,10273,1,Belagavi,Belagavi,308185.8,Transfer,606,1,10,2,8,Normal
01:29,352179.13,24876,7,Bengaluru,Shimoga,682655.42,Transfer,477,4,1,14,100,Fraud
11:12,14371.92,13480,2,Jaipur,Jaipur,358066.4,Withdrawal,923,0,11,5,5,Normal
01:34,339255.73,20062,10,Lucknow,Kochi,659756.94,Withdrawal,250,5,1,14,100,Fraud
00:50,73068.92,2929,9,Hubballi,Bellary,151874.43,Transfer,387,8,0,9,100,Fraud
08:09,10120.95,11809,3,Manipal,Manipal,159833.17,Deposit,526,0,8,4,0,Normal
00:03,154797.0,10984,9,Shimoga,Dharwad,162033.88,Transfer,1070,4,0,23,100,Fraud
21:07,23313.4,24425,1,Noida,Noida,594188.05,Withdrawal,112,0,21,3,5,Normal
23:05,399925.1,20136,9,Manipal,Pune,898124.73,Withdrawal,386,4,23,17,90,Fraud
02:22,181725.02,11291,10,Manipal,Mysuru,501756.09,Withdrawal,406,4,2,15,100,Fraud
07:34,15103.3,19771,1,Hassan,Hassan,448735.4,Deposit,927,0,7,2,0,Normal
03:28,121734.7,3124,6,Chennai,Pune,225559.59,Transfer,34,4,3,12,100,Fraud
14:28,17118.57,18701,2,Manipal,Manipal,328114.24,Deposit,745,1,14,2,0,Normal
00:27,580920.64,17318,5,Patna,Kolkata,778818.09,Withdrawal,334,2,0,21,100,Fraud
02:07,229435.58,14510,8,Bellary,Patna,396970.29,Transfer,543,5,2,10,100,Fraud
10:31,5059.53,6092,1,Bagalkot,Bagalkot,122378.26,Deposit,323,0,10,4,0,Normal
22:49,12625.75,14274,1,Manipal,Manipal,240435.82,Deposit,736,1,22,3,0,Normal
22:56,26682.77,18620,1,Bengaluru,Bengaluru,385239.78,Withdrawal,1078,0,22,4,5,Normal
10:32,28346.66,21802,1,Bidar,Bidar,365248.24,Transfer,711,1,10,2,8,Normal
23:09,156018.4,6389,6,Surat,Lucknow,292866.15,Transfer,589,3,23,22,100,Fraud
23:31,103732.34,7138,11,Chandigarh,Pune,86184.95,Transfer,723,3,23,20,100,Fraud
22:55,20421.76,22352,1,Mysuru,Gulbarga,531977.28,Transfer,10,0,22,2,38,Normal
00:15,484047.55,17789,11,Dharwad,Chennai,824527.47,Transfer,545,3,0,22,100,Fraud
02:51,564206.87,15684,8,Udupi,Kolkata,1639284.97,Transfer,716,6,2,17,100,Fraud
13:46,5296.49,6239,1,Chandigarh,Chandigarh,154573.38,Transfer,503,0,13,1,8,Normal
09:01,3815.21,3488,1,Noida,Noida,29399.8,Transfer,373,0,9,3,8,Normal
08:30,21530.91,17367,3,Hassan,Hassan,391410.25,Withdrawal,1186,0,8,3,5,Normal
18:39,21811.77,23668,3,Surat,Surat,264257.52,Transfer,895,1,18,1,8,Normal
07:56,2948.83,2683,3,Gulbarga,Gulbarga,41678.55,Deposit,363,0,7,1,0,Normal
01:17,333037.1,15449,8,Karwar,Delhi,845306.64,Withdrawal,636,5,1,13,100,Fraud
01:26,211062.41,14022,7,Patna,Bidar,430174.05,Transfer,342,6,1,13,100,Fraud
04:47,764362.01,20566,9,Hubballi,Karwar,1631165.7,Transfer,317,3,4,8,100,Fraud
19:42,12808.46,11733,1,Jaipur,Jaipur,195945.49,Deposit,950,0,19,3,0,Normal
08:18,6200.0,13612,2,Manipal,Manipal,348283.18,Withdrawal,798,1,8,4,5,Normal
18:29,14266.35,15516,2,Udupi,Udupi,464412.45,Deposit,317,1,18,5,0,Normal
10:19,18727.88,15299,3,Hassan,Hassan,132429.0,Transfer,218,0,10,2,8,Normal
23:59,303015.41,15558,6,Kochi,Hyderabad,441796.0,Withdrawal,21,4,23,17,100,Fraud
00:25,572179.18,19130,6,Hyderabad,Raichur,835360.76,Transfer,1008,2,0,14,100,Fraud
08:12,10483.09,12604,3,Surat,Surat,182112.71,Transfer,1162,1,8,3,8,Normal
07:25,11767.71,11060,1,Hassan,Hassan,133546.58,Withdrawal,1036,0,7,4,5,Normal
03:28,278680.03,15241,5,Raichur,Jaipur,590602.18,Transfer,298,2,3,9,83,Fraud
00:17,558377.54,18433,7,Kochi,Karwar,916547.35,Transfer,464,2,0,19,100,Fraud
21:04,10173.72,7193,1,Chitradurga,Bidar,212433.3,Transfer,1179,1,21,5,23,Normal
03:51,397591.6,16552,9,Chennai,Mysuru,683016.51,Transfer,40,4,3,18,100,Fraud
08:38,22803.51,20628,1,Hassan,Hassan,478558.8,Transfer,576,0,8,5,8,Normal
13:27,37668.83,22267,2,Chennai,Chennai,538443.25,Withdrawal,983,1,13,2,5,Normal
03:44,194838.63,21234,8,Delhi,Bagalkot,575001.11,Transfer,1074,2,3,12,91,Fraud
00:30,170761.25,5147,9,Vijayapura,Bengaluru,506870.67,Transfer,755,6,0,13,100,Fraud
23:44,923702.3,23166,11,Bellary,Karwar,1668807.47,Withdrawal,15,5,23,16,100,Fraud
01:03,173141.67,21141,7,Ahmedabad,Shimoga,462890.76,Transfer,987,8,1,22,100,Fraud
14:42,10796.49,13514,3,Hubballi,Hubballi,180492.31,Deposit,847,1,14,5,0,Normal
08:40,9040.94,10836,3,Surat,Hassan,157424.47,Transfer,327,1,8,1,23,Normal
15:57,15196.94,17132,2,Jaipur,Jaipur,454343.01,Transfer,111,1,15,5,8,Normal
00:11,614013.66,16186,8,Jaipur,Pune,1086647.3,Transfer,200,4,0,22,100,Fraud
04:43,573428.24,16077,11,Hyderabad,Chandigarh,1046255.43,Transfer,1034,6,4,23,100,Fraud
21:11,7874.66,12179,3,Kolkata,Kolkata,136003.6,Withdrawal,319,1,21,3,5,Normal
14:02,4023.99,8386,1,Chennai,Chennai,166905.77,Withdrawal,607,1,14,5,5,Normal
19:36,3103.12,5188,2,Hyderabad,Hyderabad,108103.29,Transfer,823,0,19,3,8,Normal
01:50,205365.43,9043,10,Delhi,Manipal,357897.4,Transfer,418,6,1,8,100,Fraud
14:42,24514.46,18151,3,Chennai,Chennai,265019.33,Deposit,588,0,14,5,0,Normal
21:21,4618.53,4571,1,Vijayapura,Vijayapura,130497.47,Deposit,1053,0,21,2,0,Normal
10:38,19819.96,19869,2,Chennai,Chennai,328378.63,Transfer,220,0,10,5,8,Normal
02:35,60988.45,3672,10,Chitradurga,Surat,110272.59,Transfer,1055,7,2,18,100,Fraud
20:15,4161.37,5935,3,Kolkata,Kolkata,146446.88,Transfer,992,1,20,1,8,Normal
00:19,360868.88,10463,5,Ahmedabad,Chennai,696245.28,Transfer,696,5,0,22,100,Fraud
22:12,11949.92,8502,3,Hassan,Hassan,192506.63,Transfer,519,1,22,5,8,Normal
